	Color_intensity	Hue
0	5.64	1.04
1	4.38	1.05
2	5.68	1.03
3	7.8	0.86
4	4.32	1.04
5	6.75	1.05
6	5.25	1.02
7	5.05	1.06
8	5.2	1.08
9	7.22	1.01
10	5.75	1.25
11	5.0	1.17
12	5.6	1.15
13	5.4	1.25
14	7.5	1.2
15	7.3	1.28
16	6.2	1.07
17	6.6	1.13
18	8.7	1.23
19	5.1	0.96
20	5.65	1.09
21	4.5	1.03
22	3.8	1.11
23	3.93	1.09
24	3.52	1.12
25	3.58	1.13
26	4.8	0.92
27	3.95	1.02
28	4.5	1.25
29	4.7	1.04
30	5.7	1.19
31	6.9	1.09
32	3.84	1.23
33	5.4	1.25
34	4.2	1.1
35	5.1	1.04
36	4.6	1.09
37	4.25	1.12
38	3.7	1.18
39	5.1	0.89
40	6.13	0.95
41	4.28	0.91
42	5.43	0.88
43	4.36	0.82
44	5.04	0.88
45	5.24	0.87
46	4.9	1.04
47	6.1	0.91
48	6.2	1.07
49	8.9	1.12
50	7.2	1.12
51	5.6	1.24
52	7.05	1.01
53	6.3	1.13
54	5.85	0.92
55	6.25	0.98
56	6.38	0.94
57	6.0	1.07
58	6.8	0.89
59	1.95	1.05
60	3.27	1.25
61	5.75	0.98
62	3.8	1.23
63	4.45	1.22
64	2.95	1.45
65	4.6	1.19
66	5.3	1.12
67	4.68	1.12
68	3.17	1.02
69	2.85	1.28
70	3.05	0.906
71	3.38	1.36
72	3.74	0.98
73	3.35	1.31
74	3.21	0.99
75	3.8	1.23
76	4.6	1.19
77	2.65	0.96
78	3.4	1.06
79	2.57	1.19
80	2.5	1.38
81	3.9	1.16
82	2.2	1.31
83	4.8	0.84
84	3.05	0.79
85	2.62	1.23
86	2.45	1.33
87	2.6	1.36
88	2.8	1.0
89	1.74	1.07
90	2.4	1.08
91	3.6	1.05
92	3.05	0.96
93	2.15	1.15
94	3.25	1.16
95	2.6	1.16
96	2.5	0.95
97	2.9	1.23
98	4.5	1.04
99	2.3	1.42
100	3.3	1.27
101	2.45	1.04
102	2.8	0.8
103	2.06	0.94
104	2.94	1.04
105	2.7	0.86
106	3.4	1.0
107	3.3	0.88
108	2.7	0.86
109	2.65	0.96
110	2.9	0.75
111	2.0	0.9
112	3.8	1.23
113	3.08	1.1
114	2.9	0.93
115	1.9	1.71
116	1.95	0.95
117	2.06	1.06
118	3.4	0.7
119	1.28	0.93
120	3.25	0.8
121	6.0	0.93
122	2.08	0.92
123	2.6	0.73
124	2.8	0.75
125	2.76	0.86
126	3.94	0.69
127	3.0	0.97
128	2.12	0.89
129	2.6	0.79
130	4.1	0.76
131	5.4	0.74
132	5.7	0.66
133	5.0	0.78
134	5.45	0.75
135	7.1	0.73
136	3.85	0.75
137	5.0	0.82
138	5.7	0.81
139	4.92	0.89
140	4.6	0.77
141	5.6	0.7
142	4.35	0.89
143	4.4	0.91
144	8.21	0.65
145	4.0	0.6
146	4.9	0.58
147	7.65	0.54
148	8.42	0.55
149	9.4	0.57
150	8.6	0.59
151	10.8	0.48
152	7.1	0.61
153	10.52	0.56
154	7.6	0.58
155	7.9	0.6
156	9.01	0.57
157	7.5	0.67
158	13.0	0.57
159	11.75	0.57
160	7.65	0.56
161	5.88	0.96
162	5.58	0.87
163	5.28	0.68
164	9.58	0.7
165	6.62	0.78
166	10.68	0.85
167	10.26	0.72
168	8.66	0.74
169	8.5	0.67
170	5.5	0.66
171	9.899999	0.57
172	9.7	0.62
173	7.7	0.64
174	7.3	0.7
175	10.2	0.59
176	9.3	0.6
177	9.2	0.61
